Date_Param,Province_Name,Price
2022-01-19,Aceh,10350.0
2022-01-19,Sumatera Utara,11200.0
2022-01-19,Sumatera Barat,13200.0
2022-01-19,Riau,12300.0
2022-01-19,Kepulauan Riau,13100.0
2022-01-19,Jambi,11800.0
2022-01-19,Bengkulu,11550.0
2022-01-19,Sumatera Selatan,11400.0
2022-01-19,Kepulauan Bangka Belitung,11600.0
2022-01-19,Lampung,11350.0
2022-01-19,Banten,11550.0
2022-01-19,Jawa Barat,11350.0
2022-01-19,DKI Jakarta,13550.0
2022-01-19,Jawa Tengah,11000.0
2022-01-19,DI Yogyakarta,11250.0
2022-01-19,Jawa Timur,10550.0
2022-01-19,Bali,11600.0
2022-01-19,Nusa Tenggara Barat,9750.0
2022-01-19,Nusa Tenggara Timur,11400.0
2022-01-19,Kalimantan Barat,13350.0
2022-01-19,Kalimantan Selatan,13150.0
2022-01-19,Kalimantan Tengah,14050.0
2022-01-19,Kalimantan Timur,12300.0
2022-01-19,Kalimantan Utara,13400.0
2022-01-19,Gorontalo,11000.0
2022-01-19,Sulawesi Selatan,9950.0
2022-01-19,Sulawesi Tenggara,10950.0
2022-01-19,Sulawesi Tengah,10600.0
2022-01-19,Sulawesi Utara,11250.0
2022-01-19,Sulawesi Barat,9800.0
2022-01-19,Maluku,13150.0
2022-01-19,Maluku Utara,12650.0
2022-01-19,Papua,12100.0
2022-01-19,Papua Barat,13000.0
2022-01-20,Aceh,10400.0
2022-01-20,Sumatera Utara,11200.0
2022-01-20,Sumatera Barat,13200.0
2022-01-20,Riau,12400.0
2022-01-20,Kepulauan Riau,13100.0
2022-01-20,Jambi,11800.0
2022-01-20,Bengkulu,11550.0
2022-01-20,Sumatera Selatan,11400.0
2022-01-20,Kepulauan Bangka Belitung,11600.0
2022-01-20,Lampung,11350.0
2022-01-20,Banten,11550.0
2022-01-20,Jawa Barat,11350.0
2022-01-20,DKI Jakarta,13550.0
2022-01-20,Jawa Tengah,11000.0
2022-01-20,DI Yogyakarta,11250.0
2022-01-20,Jawa Timur,10550.0
2022-01-20,Bali,11650.0
2022-01-20,Nusa Tenggara Barat,9750.0
2022-01-20,Nusa Tenggara Timur,11400.0
2022-01-20,Kalimantan Barat,13350.0
2022-01-20,Kalimantan Selatan,13150.0
2022-01-20,Kalimantan Tengah,14050.0
2022-01-20,Kalimantan Timur,12300.0
2022-01-20,Kalimantan Utara,13400.0
2022-01-20,Gorontalo,11000.0
2022-01-20,Sulawesi Selatan,9950.0
2022-01-20,Sulawesi Tenggara,10950.0
2022-01-20,Sulawesi Tengah,10600.0
2022-01-20,Sulawesi Utara,11250.0
2022-01-20,Sulawesi Barat,9800.0
2022-01-20,Maluku,13150.0
2022-01-20,Maluku Utara,12650.0
2022-01-20,Papua,12100.0
2022-01-20,Papua Barat,13000.0
2022-01-21,Aceh,10400.0
2022-01-21,Sumatera Utara,11200.0
2022-01-21,Sumatera Barat,13200.0
2022-01-21,Riau,12300.0
2022-01-21,Kepulauan Riau,13100.0
2022-01-21,Jambi,11800.0
2022-01-21,Bengkulu,11550.0
2022-01-21,Sumatera Selatan,11400.0
2022-01-21,Kepulauan Bangka Belitung,11600.0
2022-01-21,Lampung,11400.0
2022-01-21,Banten,11550.0
2022-01-21,Jawa Barat,11350.0
2022-01-21,DKI Jakarta,13550.0
2022-01-21,Jawa Tengah,11000.0
2022-01-21,DI Yogyakarta,11250.0
2022-01-21,Jawa Timur,10550.0
2022-01-21,Bali,11650.0
2022-01-21,Nusa Tenggara Barat,9750.0
2022-01-21,Nusa Tenggara Timur,11400.0
2022-01-21,Kalimantan Barat,13350.0
2022-01-21,Kalimantan Selatan,13150.0
2022-01-21,Kalimantan Tengah,14100.0
2022-01-21,Kalimantan Timur,12300.0
2022-01-21,Kalimantan Utara,13400.0
2022-01-21,Gorontalo,11000.0
2022-01-21,Sulawesi Selatan,9950.0
2022-01-21,Sulawesi Tenggara,10950.0
2022-01-21,Sulawesi Tengah,10600.0
2022-01-21,Sulawesi Utara,11200.0
2022-01-21,Sulawesi Barat,9800.0
2022-01-21,Maluku,13150.0
2022-01-21,Maluku Utara,12650.0
2022-01-21,Papua,12100.0
2022-01-21,Papua Barat,13150.0
2022-01-22,Aceh,10400.0
2022-01-22,Sumatera Utara,11200.0
2022-01-22,Sumatera Barat,13200.0
2022-01-22,Riau,12300.0
2022-01-22,Kepulauan Riau,13100.0
2022-01-22,Jambi,11800.0
2022-01-22,Bengkulu,11550.0
2022-01-22,Sumatera Selatan,11400.0
2022-01-22,Kepulauan Bangka Belitung,11600.0
2022-01-22,Lampung,11400.0
2022-01-22,Banten,11550.0
2022-01-22,Jawa Barat,11350.0
2022-01-22,DKI Jakarta,13550.0
2022-01-22,Jawa Tengah,11000.0
2022-01-22,DI Yogyakarta,11250.0
2022-01-22,Jawa Timur,10550.0
2022-01-22,Bali,11650.0
2022-01-22,Nusa Tenggara Barat,9750.0
2022-01-22,Nusa Tenggara Timur,11400.0
2022-01-22,Kalimantan Barat,13350.0
2022-01-22,Kalimantan Selatan,13150.0
2022-01-22,Kalimantan Tengah,14100.0
2022-01-22,Kalimantan Timur,12300.0
2022-01-22,Kalimantan Utara,13400.0
2022-01-22,Gorontalo,11000.0
2022-01-22,Sulawesi Selatan,9950.0
2022-01-22,Sulawesi Tenggara,10950.0
2022-01-22,Sulawesi Tengah,10600.0
